"Index","Open","High","Low","Close","Volume"
"1145491200",11278.530273,11384.110352,11275.049805,11342.889648,336420000
"1145577600",11343.450195,11405.879883,11316.790039,11347.450195,325090000
"1145836800",11346.80957,11359.700195,11305.830078,11336.320312,2.32e+08
"1145923200",11336.55957,11355.370117,11260.839844,11283.25,289230000
"1146009600",11283.25,11379.870117,11282.769531,11354.490234,270270000
"1146096000",11349.530273,11416.929688,11275.299805,11382.509766,361740000
"1146182400",11358.330078,11417.660156,11347.209961,11367.139648,738440000
"1146441600",11367.780273,11428.370117,11329.44043,11343.290039,365970000
"1146528000",11345.209961,11427.650391,11345.129883,11416.450195,335420000
"1146614400",11414.69043,11424.929688,11362.419922,11400.280273,380540000
"1146700800",11401.799805,11463.110352,11401.799805,11438.860352,333940000
"1146787200",11440.620117,11586.379883,11440.620117,11577.740234,338910000
"1147046400",11576.370117,11603.589844,11561.969727,11584.540039,309920000
"1147132800",11584.620117,11640.730469,11572.049805,11639.769531,263250000
"1147219200",11630.480469,11670.19043,11595.179688,11642.650391,284530000
"1147305600",11639.290039,11639.450195,11479.44043,11500.730469,322510000
"1147392000",11500.009766,11500.009766,11374.740234,11380.990234,321240000
"1147651200",11380.429688,11435.339844,11333.040039,11428.769531,300550000
"1147737600",11428.209961,11460.549805,11392.669922,11419.889648,307170000
"1147824000",11410.129883,11410.129883,11174.379883,11205.610352,399460000
"1147910400",11206.169922,11247.389648,11127.089844,11128.290039,338300000
"1147996800",11124.370117,11180.290039,11075.219727,11144.05957,485500000
"1148256000",11143.419922,11175.349609,11040.070312,11125.330078,340590000
"1148342400",11126.290039,11202.650391,11097.30957,11098.349609,315860000
"1148428800",11100.110352,11168.240234,11030.469727,11117.320312,466330000
"1148515200",11114.959961,11214.980469,11114.959961,11211.049805,295350000
"1148601600",11211.69043,11283.490234,11211.540039,11278.610352,240330000
"1148947200",11277.25,11278.129883,11094.349609,11094.429688,261260000
"1149033600",11091.150391,11183.040039,11085.379883,11168.30957,353660000
"1149120000",11169.030273,11270.209961,11150.070312,11260.280273,295150000
"1149206400",11260.519531,11285.820312,11191.530273,11247.870117,268640000
"1149465600",11247.549805,11248.790039,11040.240234,11048.719727,254990000
"1149552000",11048.240234,11094.259766,10926.419922,11002.139648,385870000
"1149638400",11002.05957,11077.379883,10928.339844,10930.900391,333490000
"1149724800",10929.700195,10964.679688,10757.549805,10938.820312,442150000
"1149811200",10939.139648,10976.200195,10871.589844,10891.919922,272930000
"1150070400",10892,10927.120117,10790.259766,10792.580078,272490000
"1150156800",10783.139648,10862.299805,10700.929688,10706.139648,399220000
"1150243200",10706.780273,10817,10698.849609,10816.919922,355620000
"1150329600",10817.480469,11036.480469,10817.480469,11015.19043,358870000
"1150416000",11014.379883,11045.200195,10984.129883,11014.549805,451930000
"1150675200",11014.870117,11057.610352,10907.290039,10942.110352,377040000
"1150761600",10942.030273,11029.830078,10938.419922,10974.839844,274060000
"1150848000",10975.240234,11131.730469,10971.719727,11079.459961,309290000
"1150934400",11077.780273,11077.780273,10986.139648,11019.110352,250460000
"1151020800",11019.19043,11074.259766,10973.400391,10989.089844,221940000
"1151280000",10990.290039,11048.719727,10973.719727,11045.280273,202770000
"1151366400",11048.240234,11064.089844,10920.730469,10924.740234,269010000
"1151452800",10925.299805,10981.25,10902.480469,10973.55957,260240000
"1151539200",10974.360352,11195.540039,10974.360352,11190.799805,337830000
"1151625600",11190.799805,11235.629883,11150.05957,11150.219727,365670000
"1151884800",11149.339844,11231.299805,11149.339844,11228.019531,134790000
"1152057600",11225.05957,11225.05957,11123.320312,11151.820312,248320000
"1152144000",11147.120117,11257.080078,11147.120117,11225.299805,224520000
"1152230400",11224.179688,11224.179688,11066.009766,11090.669922,253730000
"1152489600",11091.709961,11174.469727,11090.040039,11103.549805,207740000
"1152576000",11102.589844,11151.179688,11027.990234,11134.769531,298130000
"1152662400",11133.969727,11149.959961,10995.969727,11013.179688,266320000
"1152748800",11012.620117,11012.620117,10832.929688,10846.290039,328780000
"1152835200",10846.530273,10848.370117,10701.339844,10739.349609,312080000
"1153094400",10739.349609,10802.669922,10714.709961,10747.360352,251640000
"1153180800",10745.839844,10813.790039,10683.320312,10799.230469,288860000
"1153267200",10797.389648,11038.480469,10797.389648,11011.419922,343400000
"1153353600",11007.259766,11037.280273,10924.980469,10928.099609,336300000
"1153440000",10937.94043,10951.769531,10838.849609,10868.379883,433240000
"1153699200",10868.700195,11065.950195,10868.620117,11051.049805,269370000
"1153785600",11051.049805,11133.80957,10999.900391,11103.709961,281840000
"1153872000",11102.910156,11157.820312,11048.160156,11102.509766,287170000
"1153958400",11104.19043,11187.759766,11087.549805,11100.429688,286530000
"1154044800",11102.110352,11243.30957,11102.030273,11219.700195,269730000
"1154304000",11218.900391,11219.05957,11178.320312,11185.679688,226190000
"1154390400",11184.799805,11185.280273,11083.860352,11125.730469,199150000
"1154476800",11125.570312,11229.459961,11125.25,11199.929688,229410000
"1154563200",11195.280273,11269.490234,11144.459961,11242.589844,211890000
"1154649600",11244.589844,11344.169922,11187.360352,11240.349609,210410000
"1154908800",11239.469727,11245.950195,11190.55957,11219.379883,169710000
