"Jan 1948",40.6
"Feb 1948",41.1
"Mar 1948",40.5
"Apr 1948",40.1
"May 1948",40.4
"Jun 1948",41.2
"Jul 1948",39.3
"Aug 1948",41.6
"Sep 1948",42.3
"Oct 1948",43.2
"Nov 1948",41.8
"Dec 1948",40.5
"Jan 1949",40
"Feb 1949",40.1
"Mar 1949",39.3
"Apr 1949",38.5
"May 1949",37.7
"Jun 1949",37.9
"Jul 1949",36
"Aug 1949",39
"Sep 1949",40
"Oct 1949",39.2
"Nov 1949",39
"Dec 1949",38.8
"Jan 1950",39.8
"Feb 1950",40.3
"Mar 1950",41.6
"Apr 1950",42.6
"May 1950",43
"Jun 1950",44.7
"Jul 1950",43.4
"Aug 1950",48.3
"Sep 1950",48.7
"Oct 1950",50
"Nov 1950",48.3
"Dec 1950",48.2
"Jan 1951",48.5
"Feb 1951",49.6
"Mar 1951",50
"Apr 1951",49.4
"May 1951",48.6
"Jun 1951",49.1
"Jul 1951",45.5
"Aug 1951",48
"Sep 1951",49.1
"Oct 1951",49.5
"Nov 1951",48.9
"Dec 1951",48.2
"Jan 1952",49
"Feb 1952",50.1
"Mar 1952",50.4
"Apr 1952",49.1
"May 1952",48.3
"Jun 1952",48.4
"Jul 1952",44.9
"Aug 1952",50.6
"Sep 1952",53.4
"Oct 1952",54.5
"Nov 1952",54.5
"Dec 1952",53.6
"Jan 1953",54.2
"Feb 1953",55.6
"Mar 1953",56.3
"Apr 1953",55.8
"May 1953",55.8
"Jun 1953",55.9
"Jul 1953",53.2
"Aug 1953",55.8
"Sep 1953",55.5
"Oct 1953",55.8
"Nov 1953",53.2
"Dec 1953",51
"Jan 1954",51.3
"Feb 1954",52
"Mar 1954",51.8
"Apr 1954",51.2
"May 1954",51.3
"Jun 1954",51.9
"Jul 1954",48.8
"Aug 1954",51.3
"Sep 1954",52.3
"Oct 1954",53.5
"Nov 1954",53.6
"Dec 1954",53.4
"Jan 1955",54.7
"Feb 1955",56.2
"Mar 1955",57.5
"Apr 1955",57.9
"May 1955",58.4
"Jun 1955",59.1
"Jul 1955",55.8
"Aug 1955",58.6
"Sep 1955",60.1
"Oct 1955",61.9
"Nov 1955",61.3
"Dec 1955",60.4
"Jan 1956",60.5
"Feb 1956",61.1
"Mar 1956",61.2
"Apr 1956",61.6
"May 1956",60.7
"Jun 1956",61
"Jul 1956",55.2
"Aug 1956",60.4
"Sep 1956",62.6
"Oct 1956",63.8
"Nov 1956",62.6
"Dec 1956",62
"Jan 1957",62
"Feb 1957",63.5
"Mar 1957",63.6
"Apr 1957",62.3
"May 1957",61.8
"Jun 1957",63.1
"Jul 1957",59.4
"Aug 1957",62.8
"Sep 1957",63
"Oct 1957",62.6
"Nov 1957",60.4
"Dec 1957",57.8
"Jan 1958",57
"Feb 1958",56.4
"Mar 1958",55.8
"Apr 1958",54.7
"May 1958",55
"Jun 1958",57.6
"Jul 1958",59.4
"Aug 1958",58.7
"Sep 1958",60.7
"Oct 1958",61.3
"Nov 1958",62.1
"Dec 1958",60.8
"Jan 1959",61.9
"Feb 1959",63.8
"Mar 1959",65.2
"Apr 1959",66.4
"May 1959",67.2
"Jun 1959",68.5
"Jul 1959",62.9
"Aug 1959",63.3
"Sep 1959",64.5
"Oct 1959",64.6
"Nov 1959",63.6
"Dec 1959",65.9
"Jan 1960",67.8
"Feb 1960",68.2
"Mar 1960",68
"Apr 1960",67.5
"May 1960",67.3
"Jun 1960",67.5
"Jul 1960",63.4
"Aug 1960",65.6
"Sep 1960",66.6
"Oct 1960",66.9
"Nov 1960",64.5
"Dec 1960",61.7
"Jan 1961",62
"Feb 1961",62.7
"Mar 1961",63.5
"Apr 1961",65.1
"May 1961",66.1
"Jun 1961",68
"Jul 1961",64.6
"Aug 1961",67.9
"Sep 1961",69.5
"Oct 1961",71.1
"Nov 1961",70.5
"Dec 1961",69.4
"Jan 1962",68.9
"Feb 1962",71
"Mar 1962",72.1
"Apr 1962",72.4
"May 1962",72.4
"Jun 1962",73.4
"Jul 1962",69.7
"Aug 1962",71.9
"Sep 1962",74.7
"Oct 1962",75
"Nov 1962",73.6
"Dec 1962",71.8
"Jan 1963",72.4
"Feb 1963",74.7
"Mar 1963",75.7
"Apr 1963",76.4
"May 1963",77.1
"Jun 1963",78.6
"Jul 1963",73.4
"Aug 1963",75.5
"Sep 1963",78.9
"Oct 1963",80.2
"Nov 1963",78.7
"Dec 1963",76.5
"Jan 1964",77.5
"Feb 1964",79.8
"Mar 1964",80.2
"Apr 1964",81.5
"May 1964",81.9
"Jun 1964",83.2
"Jul 1964",78.3
"Aug 1964",81.3
"Sep 1964",84.6
"Oct 1964",83.9
"Nov 1964",84.5
"Dec 1964",83.4
"Jan 1965",84.8
"Feb 1965",87
"Mar 1965",88.8
"Apr 1965",88.8
"May 1965",89.5
"Jun 1965",91.7
"Jul 1965",86.7
"Aug 1965",89.4
"Sep 1965",92.4
"Oct 1965",94.5
"Nov 1965",93
"Dec 1965",91.4
"Jan 1966",92.7
"Feb 1966",95.3
"Mar 1966",97.3
"Apr 1966",97.1
"May 1966",97.8
"Jun 1966",100
"Jul 1966",93.8
"Aug 1966",97.2
"Sep 1966",101.7
"Oct 1966",102.8
"Nov 1966",100
"Dec 1966",97.5
"Jan 1967",98.1
"Feb 1967",99.1
"Mar 1967",99
"Apr 1967",99.6
"May 1967",98.7
"Jun 1967",100.9
"Jul 1967",94.4
"Aug 1967",99.6
"Sep 1967",102.7
"Oct 1967",103.4
"Nov 1967",103.1
"Dec 1967",101.4
"Jan 1968",101.8
"Feb 1968",104.5
"Mar 1968",105.6
"Apr 1968",104.9
"May 1968",106.5
"Jun 1968",109.3
"Jul 1968",102.5
"Aug 1968",105.5
"Sep 1968",109.6
"Oct 1968",110.1
"Nov 1968",109.6
"Dec 1968",106.2
"Jan 1969",107.3
"Feb 1969",110.4
"Mar 1969",111.6
"Apr 1969",110.6
"May 1969",110.5
"Jun 1969",114
"Jul 1969",107.3
"Aug 1969",111.6
"Sep 1969",115.1
"Oct 1969",115.1
